,index,text,text_rating,rating
0,1,"Говорят, что Коппола был настолько потрясен книгой Стокера, что сразу решил снимать по ней кино. На самом деле главным вдохновителем проекта стала…Вайнона Райдер. Это ей, хрупкой и утонченной девушке, пришла в голову идея нового прочтения легендарного романа, и она сама пришла к Копполе, одному из своих любимых режиссеров. Именно на ее мнение он опирался, подбирая актеров на главные роли. Именно с ее изящной ручки он отказался от Болдуина, Кейджа, Гранта и прочих кандидатов на роль величайшего вампира всех времен, и остановил свой выбор на Гэри Олдмене.

Таким образом, Вайнона Райдер сама выбрала себе партнера на свою голову. Говорят, на премьере фильма Райдер признавалась, что все время чувствовала, что снимается в чем-то непростительно-стыдном, трешэвом, да еще и с одними психами вокруг. Съемки в „Дракуле“ действительно стали для актрисы адом. Гэри Олдман для режиссера и партнеров — настоящий кошмар. Большинство режиссеров зарекаются работать с ним после одного эксперимента. Коппола — в их числе. Он буквально извел всю съемочную группу своим беспробудным пьянством, испортил километры пленки, многократно срывал съемки значительных эпизодов, опаздывал, а то и вообще не выходил на работу, мучил партнеров требованиями о пересъемках и репетициях, особенно досталось бедной Райдер, вынужденной почти все время находиться с ним в кадре. Между актерами сразу пробежала искра взаимной неприязни, и половину съемок Райдер провела в полуистерическом состоянии. А им приходилось не просто быть рядом, но играть в любовь, отчасти это сделало их дуэт выдающимся, потому что показать такую страсть и пламенное чувство, превознемогая отвращение — дорогого стоит. Правда, у бедняжки-Вайноны в некоторых сценах такое испуганное лицо, что сразу понимаешь, как ей пришлось несладко с этим 'психом'.

Олдман вдохнул жизнь в своего безжизненного героя. Дракула предстал совсем не таким, каким представал в хрестоматийном исполнении Белы Лугоши или в „Носферату“ Мурнау. В его Дракуле есть кое-что от Лугоши, прежде всего, вычурное позерство графа, от Макса Орлока, „Носферату“, осталась своеобразная пластика постаревшего вампира, от Фрэнка Лангеллы вампиру передалась притягательная сексуальность. Но ни один из предшествующих актеров не внес столько трагизма в образ Дракулы. Олдман играет вовсе не по уровню фильма ужасов, перед нами образ, раздираемый сильнейшими противоречиями, и это не примитивные противоречия, типа „кусить-не кусить“ — здесь и природная жестокость, которую Дракула постоянно обязан укрощать, пытаясь соответствовать законам новой эпохи, которую он боится, здесь и страх перед времени, в котором копошится мучимый собственным бессмертием вампир, здесь и единственная любовь, и желание найти покой, ненависть и презрение к людям, грандиозный эгоцентризм привыкшего подчинять господаря, и вера в Бога, поколебленная жестокой судьбой, и конфликт с Богом, который, прежде всего - конфликт с самим собой. Всевластного госпадаря погубила одна-единственная женщина, которая не нашла в себе сил проверить известие о его гибели. В образе Дракулы очень много нового и человеческого. И это заслуга Олдмана, актера, который смог бы оживить даже табуретку, его гипнотических глаз, в которых столько страдания, боли и ненависти, что к вампиру можно проникнуться сочувствием. Я тоже не мог себя заставить ненавидеть Дракулу. Такие чувства надо уважать.

Правда, я все время думал: „Кого-то мне Олдман своей игрой напоминает!“ И точно. Коппола и Олдман отталкивались в своей работе от игры Черкасова в великом шедевре Эйзенштейна „Иван Грозный“. Вот так прототипом трансильванского вампира стал русский самодержец. Впрочем, до игры Черкасова Олдман все-таки не дотягивает, но у него и жанр попроще.

Несмотря на наличие имени Брэма Стокера в названии фильма, от романа Коппола ушел довольно далеко, сделав упор на романтическую линию, которой в книге не было. Книга была про вампира, фильм стал аллегорией вечной любви, победившей смерть. Кроме истории любви, Коппола добавил в ленту очень много откровенного и скрытого эротизма. Буквально каждый кадр в фильме дышит возбуждением, страстью, вожделением. Все изменения, происходящие с графом и с его жертвами — по сути, фрейдистского характера. И, хотя постельных сцен здесь минимум, чуть ли не весь фильм представляется одной чувственной, инфернальной оргией.

Новым словом для жанра стало минимальное количество действия, как такового. Солидная часть ленты — монологи героев, мысли вслух, выписки из дневников и писем.

Несмотря на то, что сам Дракула предстал в изрядно романтизированном ключе, его вечный противник, Ван Хельсинг, был сыгран Энтони Хопкинсом циничным, бедовым стариканом, равнодушным к человеческим страданиям. Говоря о роли 'души фильма“, Вайноны Райдер - несмотря на все тяготы, она с ней справилась великолепно. Надо видеть, как простодушно восхищается Мина картинками из „Камасутры“, как начинает испытывать смешанное чувство стыда, страха, похоти и дежа-вю, встретив Дракулу в первый раз. А в конце совершает поступок, который говорит о недюжинной силе воли в этом хрупком женственном теле.

И, конечно, наряду с работой Олдмана делает этот фильм шедевром и классикой — совершенно роскошный визуальный ряд. Исполненный в мистико-готических тонах фильм настолько прекрасен, что каждый кадр его можно вешать на стену. Здесь все настолько точно продумано, подчинено общему замыслу, красиво, что фильм превращается в нескончаемое эстетское удовольствие. Бесподобные декорации, костюмы, грим, превращающий Олдмана то в старика, то в красавца-молодца, то в уродливого монстра — заслуженно полученный Оскар. А какова готическая атмосфера, ощущающаяся в каждом кадре! А олдскульные спецэффекты! Ведь в фильме ни разу не был применен компьютер! А визуальный ряд покруче, чем у любых 'Сумерек'! 

Такие моменты сами напрашивались на пародию. И в 1995 года маэстро Мэл Брукс снял очень точную и очень смешную пародию „Дракула: мертв и очень этим доволен“, высмеяв Стокера и эту экранизацию. Кстати, пародия вышла совсем не обидной, не менее прекрасной с визуальной точки зрения, очень смешной и остроумной, в своем жанре ничуть не уступая копполовскому шедевру.

Не лишним будет упомянуть, что после грандиозного успеха „Дракулы“ Коппола и его компания решили заняться реанимированием классических ужастиков. Один за другим под патронажем Копполы вышли „Франкенштейн“, „Дом призраков“, готическая „Сонная лощина“, 'Возмездие', 'Джиперс Криперс',„Монстр“ и т.д. Разные по уровню, все фильмы, тем не менее, имели значительный кассовый успех.

Утонченное чувство прекрасного, бесподобная работа актеров, гримеров, операторов, художников, потрясающая режиссура — стиль, готика, эротомания, роскошная музыка, леденящая душу лав стори…'Дракула' стал новым словом в жанре, одним из лучших фильмов на вампирскую тематику, если не самым значительным, то точно самым зрелищным, чувственным и романтичным, кассовым хитом, классикой, мастер-классом знаменитого постановщика, показавшего, как можно грамотно смешать готический ужастик и ретро-мелодраму, создав один из знаковых фильмов 90-х, который задолго до «Титаника» рассказал о том, какой может быть настоящая любовь. 

10 из 10",10 из 10,10
1,2,"Очень легкое, забавное кино в духе посмотрел-забыл. Романтическая комедия о двух не очень-то подходящих друг другу персонажах: плейбое и девушкой, памяти которой хватало на день. Все такое замечательно-морское, солнечное, а ананасы выглядят особенно шикарно. Все эти гавайские штучки напомнили 'Лило и Стич', но это так, сравнения побоку.
 
У Люси каждый день - как День Сурка, но она этого даже не осознает. Генри влюбляется в симпатичную девушку и пошло-поехало. На их пути множество препятствий, но они их преодолевают, и мы следим за ними с внешней стороны экрана. Генри каждый день завоевывает сердце своей возлюбленной, а что может быть романтичней? Фильм очень милый, не сопливый. Концовка крутая.

10 из 10",10 из 10,10
2,4,"С середины 80-х годов и до середины 90-х прошлого столетия - можно сказать, что это время было временем подъёма остросюжетных триллеров со сценами 'горяченького', то есть, где будут сцены эротики. В то время, когда в СССР секса в кино не было, такие фильмы становились откровением и могли легко зажечь страсть.

Не знаю, чем руководствовались Кэтти Ши, режиссёр фильма 'Ядовитый плющ', и сценарист Энди Рубен, но их психологический триллер с элементами драмы - именно таков. Кстати, они и начинали вместе с чего-то подобного, выпустив в конце 80-х дилогию 'Раздетая для убийства' (фильмы не стали заметным событием, но факт есть факт). И 'Ядовитый плющ' - самый известный фильм выше указанного тандема.

Он расскажет о том, как девочка из привилегированной семьи, школьница, одна из тех, которых называют 'серыми мышками' (актриса Сара Гилберт), заводит дружбу с разбитной девахой, которая очень далека от интеллегенции и богатства, но очень сексапильна (её сыграла на тот момент семнадцатилетняя Дрю Бэрримор). Подруга становится вхожа в дом, но 'серая мышка' ещё не знает, что открыла Ящик Пандоры и вскоре сексуально привлекательная девушка начнёт приводить в жизнь свой изощрённый план.

Картина постепенно будет набирать удушливую атмосферу, в ней будут превуалировать подсознательные чувства секса и смерти, что и приведёт к тому, что главный герой (Том Скерритт) полетит к героине Бэрримор, как мотылёк на огонь. Эта часть картины поставлена очень хорошо. Есть ещё тот момент, что все три главных героини ленты (кроме Гилберт и Бэрримор стоит ещё отметить и Шерил Лэдд, сыгравшей мать 'серой мышки') создали соревновательный триумвират, где слабости борются с сильными сторонами и идёт поступательный накал взаимоотношений.

А вот Том Скерритт откровенно проиграл им всем троим. От него многое зависело, он оказался отброшен в тень, поэтому, когда его герой выходит на первый план он кажется плачевным и слабым, да и просто неинтересным, никакой глубины, психологизма не хватает, он был лишь как похотливый самец с кризисом среднего возраста, потерявший голову от нескрываемой доступности красотки. Ничего нового и захватывающего, сопереживательного даже в персонаже Скерритта не оказалось.

Если бы не атмосфера фильма, не горячий его эротизм в паре сцен, не притягательность героини Дрю Бэрримор, но мало о чём можно было говорить, а так поклонникам психологических триллеров могу посоветовать посмотреть 'Ядовитый плющ', он обвивает и душит.

7 из 10",7 из 10,7
3,5,"Отличная экранизация, особенно мне понравились два вещи: первое - это то, как соединили воедино три совершенно несовместимых истории, второе - это то, что все сделано именно так как я и представляла, когда читала произведения. Когда я читала 'Корпорация Бросайте курить!'  и не думала, что на главную роль могут позвать самого Джеймса Вудса - была приятно удивлена. 

Думаю было намного бы лучше, если бы я увидела этот фильм в детстве - тогда бы он меня напугал и понравился бы гораздо больше, а сейчас он у меня вызывает не больше милой улыбки и чувства удовлетворения (от приятной экранизации). Чем больше смотрю фильмов снятых по Кингу, где Кинг непосредственно принимал участие (продюсер, режиссер, сценарист - не важно), то все больше и больше понимаю, что у него есть свой стиль, своя подача истории... не как у других.

Заворожило начало фильма, где сначала за кошкой гонится Куджо (из 'Куджо'), а на дороге им встречается красавица Кристина (из 'Кристина'). Благодаря этому ты сразу чувствуешь атмосферу фильма...

9 из 10",9 из 10,9
4,6,"Генри влюбляется в девушку из кафе Люси. Люси страдает потерей памяти и на следующее после знакомства утро не вспоминает Генри. Он не намерен сдаваться, и хочет бороться за свою любовь, даже если для этого ему надо влюблять в себя Люси каждый новый день.

Это замечательная и трогательная история любви, основанная на реальных событиях. Мне нравится Адам Сэндлер как комедийный актер, но не все фильмы с его участием могут похвастаться оригинальным сюжетам или качественными шутками. 

Этот фильм приятно удивил, несмотря на то, что начало фильм ничего нового не обещало, стандартная комедия с Адамом Сэндлером. В фильме много моментов, которые заставятся зрителя посмеяться. Это не только комедия, еще и мелодрама, поэтому кроме веселых моментов, достаточно сцен, которые заставляют сопереживать персонажам

Адам Сэндлер (Генри) несерьезный, часто меняет женщин, но это до момента его знакомства с Люси. В фильме все хватает доказательств того, что все-таки любовь способна менять людей, если она настоящая. Показаны, возможно, слишком безумные сцены, на какие поступки могут идти любящие люди. Своим поведением Генри вызывает уважение и симпатию. 

Дрю Бэрримор (Люси) замечательная, трогательная, заботливая. Люси вызывает симпатию и умиление, тем, что она настоящая, вспомните, как она строит домики из завтрака. Такие девушки не остаются без внимания. Когда мы узнаем ее историю, проникаемся сочувствием

Хорошая работа оператора, фильм вышел теплым, пропитанный любовью. Смотреть за тем, что происходит на экране очень интересно

Я советую этот фильм. Это история настоящей любви, для которой не существует помех

10 из 10",10 из 10,10
5,8,"В общем потоке комедийных зрелищ эта лента стоит особняком. И не потому, что в ней пародируется все, что можно - 'Горячие головы' способны доставить удовольствие и тем, кто не знает культурного контекста (привет 'двойному кодированию' постмодернизма). Режиссер Джей Абрахамс не столько занимается деконструкцией, доводя до абсурда известные по другим фильмам приемы, сколько строит на ней любопытный и оригинальный тип комедии. Это примерно как двусторонняя куртка: выверни наружу - и получишь нечто совершенно отличное от оригинала.

Что же это за тип? Рецепт стандартной комедии прост: стеб над героями, серной кислотой съедающий всю драматическую составляющую, плюс интригующий сюжет. Абрахамс же потешается над ситуациями, шаблонами, концептами - и оттого герои в этом царстве гротеска остаются нетронутыми, незамаранными. Образы созданы скорее с любовью, чем с иронией, и оттого не выглядят глупыми (прямо как в старых добрых советских комедиях). Конечно, это не подразумевает наличие у них сложного внутреннего мира, но какой-никакой психологический бэкграунд имеется. Во всяком случае, это касается персонажей Чарли Шина и Валерии Голино, которые скорее вызывают симпатию, чем смех. Удивительно: в лирических сценах тоже наличествует стеб, но запоминается не он, а трепетные отношения Топпера и Ромады. Остальные герои более однозначны, но и они сыграны добротно и душевно.

Что же касается сюжета, то он, напротив, подчеркнуто условен. Все действие состоит из подготовки и проведения операции 'Сонный хорек', суть, назначение и перипетии которой зрителю почти не сообщают. В обычной комедии это означало бы, что сценаристы едят хлеб даром, но здесь им наоборот впору аплодировать - при кажущейся бессюжетности картина настолько напичкана шутками, что не заскучаешь. Причем дело не в количестве шуток, а в их частотности и направленности. Высмеивая шаблоны, сами 'Горячие головы' их умело избегают: сколько я ни пытался предугадать, кто из героев 'отметится' следующим (куда-нибудь провалится/вляпается), у меня это не получалось. На редкость непредсказуемая комедия.

А если вы досмотрите до конца титров, там вас будет ждать фраза: 'If you had left this theatre when these credits began, you'd be home now'. Разве не блеск?

8 из 10",8 из 10,8
6,9,"Одна из лучших романтических молодежных комедий в главной роли с Дрю Бэрримор. После фильма она стала в фаворе у американской молодежи (в Голливуде ее имя прогремело, еще в детстве, с легкой руки своего крестного папы Стивена Спилберга в «Инопланетянине») потеснив таких суперзвезд как Джулию Робертс и Сандру Балок. Впрочем неудивительно: американская публика всегда была довольно благосклонна к такому типажу актрис — с заурядной внешностью и отсутствием гламура (и это не просто их особенность, это их амплуа – «девушка из соседней квартиры»). На этом поприще смогли сыскать славы Мег Райан, Дженнифер Энистон, Бетт Мидлер, Барбра Стрейзанд и Дебби Рейнолдс. 

Однако, хоть это и одна из лучших работ Бэрримор, фильм еще имеет свой определенный индивидуальный шарм: во многом благодаря сценаристам Эбби Кону / Марку Силверштейну и заслугам оператора - Алексу Непомнящиму, который смог легко и доступно показать американскую школьную среду. Возможно, здесь многие сочтут нужныс сказать, что фильм изобилует всеми классическими киноштампами о учебных буднях американской молодежи, но именно в данном случае эти штампы себя оправдывают – ведь главная цель героини Дрю Бэрримор – узнать как живут и о чем мечтают современные подростки. 

Едва ли не единственный случай, когда soundtrack комедийного фильма вскружил голову очень широкому кругу слушателей. Подтверждением всенародной любви служат музыкальные форумы, на которых альбому «Never Been Kissed. Original Soundtrack Album» посвящены целые ветки обсуждений, следует добавить, весьма объемные. Главным образом стоит отметить композицию английской поп-рок-группы Cutting Crew - «I Just Died in Your Arms», с которой группа дебютировала на верхних позициях чартов США, Канады и Норвегии. Нежно-лирическая песня «Dont Worry Baby» записанная американской рок-группой The Beach Boys была выпущена еще в далеком 1964 году, но сингл настолько романтичен, что спустя 35 лет на финальных аккордах фильма под него сладко целуется героиня Дрю Бэрримор. Нужно сказать, что композиция вошла в список «500 величайших песен всех времён по версии журнала Rolling Stone». Скандально известная песня «Like a Prayer» в исполнении Мадонны (несмотря на то, что песня исполнена в стиле пауэр-поп, в ней также нашлось место госпел-хору) звучит на очень драматическом моменте картины. Ну и конечно бессмертная заглавная музыкальная тема из культового мультсериала Симпсоны - «The Simpsons Theme», написанная американским музыкантом и композитором Дэниелом Эльфманом. 

Компакт-диск с оригинальным саундтреком состоит из 16 композиций (хотя фильм насчитывает значительно больше – 41, включая музыкальные репризы), и вы можете приобрести его в специальных интернет-магазинах. Единственная проблема, связанная с этим альбомом, - очень тяжело заставить себя «препроводить» его из музыкального плеера своего iphone. Даже после многодневного прослушивания рука упорно тянется не к клавише «open/close», а к заветной «play».

Фильм очень легкий, веселый, проникновенный – в общем, сладкий шоколад с горчинкой в послевкусии и долгожданным хэппи-эндом в виде страстного поцелуя.

You Must See  

10 из 10",10 из 10,10
7,10,"Совпадение. Пишу рецензию под звуки одной, упомянутой выше, песни Брайана Адамса и другой, частично приведённой ниже, AEROSMITH.

I go crazy, crazy, baby, I go crazy
You turn it on
Then you're gone
Yeah you drive me
Crazy

'Ты заводишь, А затем уходишь,' - прямо строки под стать эпиграфу. Ведь с героем картины происходит ЭТО КАЖДЫЙ ДЕНЬ. Он встречает её [очаровательную героиню], она словно будильник заводит его [разжигает огонь любви], они проводят вместе лучшие мгновения, а на утро... Да, с одной стороны печально, сердце сжимается от того, что происходит на следующий день. Она не помнит ничего...

'Не говори, что это того не стоит, я ничего не могу с собой поделать - ничего другого мне не нужно я буду сражаться за тебя, паду в бою за тебя, пройду над пропастью по канату, умру за тебя' - строки другой песни. Если уподобить любовь войне, то здесь врагом становится несчастье, болезнь, с которой сражается наш герой день ото дня, ведя свой бой с самим собой. Он меняется - ведь любовь меняет нас, буквально заставляя отдавать близкому человеку всего себя без остатка, уничтожая при этом всё, скажем так, негативное прежде всего в самом себе.

Но что получаем в итоге? Получаем фильм, который можно, а кому-то [Вашему покорному слуге, к примеру] нужно просмотреть 50 'первых' раз...

9 из 10",9 из 10,9
8,12,"Это мужское кино. И не только потому, что повествует о войне, в данном случае об относящемся к 1861-1865 годам столкновении американских Севера и Юга. Просто, несмотря на обилие драматических, а подчас и вовсе трагических событий оно вызывает не слезы, а гнев. Гнев против убийства человека человеком, какими бы высокими мотивами оно не было освещено. Мы же знаем, что воюют политики, а обыкновенным людям надо растить детей, возделывать землю, словом, заниматься делом.

   И в этой нехитрой истине состоит жизненное кредо героя фильма, Чарли Андерсона, пожилого фермера, вдовца, имеющего шестерых сыновей — пятерых взрослых и одного подростка, и дочь «на выданье», поднявшего и поддерживающего в образцовом порядке большое хозяйство, которое находится в Вирджинии, в долине реки Шинэндоа.

   Однако помимо пацифистских убеждений в мировоззрении Андресона присутствует и определенная доля эгоизма. Все-таки свою позицию невмешательства в захвативший всех окружающих вооруженный конфликт он оправдывает еще и обилием личных забот.

   Но стоит лишь по нелепой случайности попасть в плен северянам младшему сыну Чарли, как он и почти все члены семьи берутся за оружие и отправляются выручать мальчика из беды.

   В этот кульминационный момент картины Эндрю МакЛаклаглена невольно вспоминается симоновская строка: «если дорог тебе твой дом…». Правда, классик советской поэзии настаивал на том, что врага надо непременно уничтожить. Здесь же все иначе. Чарли смотрит на все происходящее, прежде всего, как отец, для которого  главным в жизни являются его дети. И Чарли понимает, что у врагов тоже есть отцы, испытывающие, такое же, как и у него, чувство страха за своих наследников. Это, собственно, и останавливает Чарли от того, чтобы замарать свои руки кровью.

   Воплощать на экране отцовское начало очень, что называется, к лицу лидеру актерского ансамбля Джеймсу Стюарту, который в роли Чарли Андерсона проявляет свои лучшие актерские качества, соединяя в характере своего героя мужественность и нежность, присущую зрелости мудрость и абсолютную растерянность перед обрушившимися на его седую голову бедами. А еще — в самые торжественные, самые решающие минуты он старается избегать пафоса. Так как порядочность, верность, честь для него понятия естественные, за что он и будет вознагражден в финале. Счастливом, увы, лишь отчасти. Ведь горечь от потерь останется с ним и его родными навсегда.

10 из 10",10 из 10,10
9,16,"А вы знали, что актрисе, сыгравшей Стефанию (Шарлотте Гинсбур) на момент съёмок фильма уже под 40? Она и так-то всю свою актёрскую карьеру не особенно ярко сияла, а рядом с молоденьким Берналем (секс-символом Латинской Америки) совсем как-то посерела, сжалась как гриб. Эдакая мышь, скучная и неинтересная, которая будто клякса портит талантливый фильм. Ей бы подошла скорее роль матери Стефана, нежели его возлюбленной.  Здесь нужна была другая актриса.

Вообще говоря, красивых женщин в картине попросту нет. И это очень удручает. Я сейчас не имею в виду что нужно было снимать силиконовых голливудских кукол, красота которых безупречна и скучна, как у греческих статуй. Я говорю о ком-то вроде Вайноны Райдер или Наоми Уоттс. Да кого угодно можно было взять на эту роль! Но только молодую! Яркую! 

Я не верю, что человек с такой внешностью, которой обладал герой Берналя, постоянно терпел крах в отношениях с героиней Гинсбур. Тем не менее создатели фильма методично пытаются нам навязать мысль будто Стефания - эдакая роковая женщина, что она Стефана будет мучить 'до конца жизни'. Это просто смешно! И оттого отдает неправдоподобием, оторванностью от настоящей жизни. А это всегда неприятно. 

Впрочем, это я говорила о плохом, о единственном недостатке фильма. В остальном, как и большинству здесь высказавшихся, мне картина импонирует. 

Если не брать в расчёт внешность Стефании, то её образ очень любопытен. 'Я люблю ее за то, что она мастерит разные штуки!', - признается Стефан. Действительно, в ее характере - это сильная черта и пожалуй она больше всего говорит о том, что личность перед нами не обычная, а творческая. Фантазёрка. Но это, конечно заслуга сценаристов, а вовсе не актрисы. 

Образ Стефана тоже удачен. Эдакий изобретатель никому ненужных вещей: очков для трёхмерного зрения, секундной машины времени. Он чокнутый, но чокнутый в хорошем смысле этого слова. Тот самый чокнутый из числа тех, в которых женщины влюбляются раз и на всю жизнь. Его невозможно не любить, потому невозможно предсказать. В одну секунду он обнимает, в следующую - не приходит на свидание. 

У картины есть и комедийная сторона. Какой-то добрый и нелепый юмор. То, как Стефан пишет письмо во сне, подсовывает его под дверь, а потом приходит за ним с крюком и все это видит Стефания. Эти его ненормальные коллеги по работе, один из которых по-видимому гей, а другой - сексуальный маньяк. Забавен момент, когда он забрался в квартиру к Стефании, а когда она вошла, плюхнулся на кровать и сжался клубочком (типа спрятался). 

Смотреть стоит. Хотя не все и поймут.

9 из 10",9 из 10,9
