,index,text,text_rating,rating
0,0,"Скажу сразу, название мне понравилось, я ожидала что-то ужасно-прекрасное, нечто настолько восхитительное, что за гранью понимания и возможностей. Но... Увы фильм полностью не оправдал моих ожиданий. 

Скажу сразу, Марк Уолберг сыграл свою роль просто замечательно, полностью передал то чувство ненависти, ту боль, которую ему пришлось переживать на протяжении фильма. Вот и все плюсы. Остальные актеры играли плоховато, как будто и не старались даже. Сюжет... А что сюжет? Обыденность и жестокость нашего мира, это и без фильма видно было. Насилие и хитрость? Возможно. Все сделано в каких-то грязно-темных тонах, достаточно противно смотреть подобное. 

Эта картина, представляет собой что-то в меру нескладное и глупое, достаточно не продуманное. Считаю, что потратила время зря, ибо ничего полезного и добротного для себя тут не вычла.

Рассказ велся от самой главной героини - Сьюзи. Именно он и не вызвал у меня никаких чувств, в буквальном смысле. Ни жалости, ни сострадания, ни переживания за кого-либо. Не часто натыкаюсь на плохие фильмы, но все же иногда приходится созерцать что-то подобное. 

Конечно, не хочется плохо отзываться о трудах режиссера Питера Джексона. но мне придется, так как, фильм действительно не представляет собой особой моральной ценности для каждого из нас.

3 из 10",3 из 10,3
1,1,"Буду субъективен! Для меня Джексон - один из самых противоречивых режиссёров, но одно можно сказать уверенно: Питер любит спецэффекты! Но вот место этих самых спецэффектов в его проектах - очень разное. В образцовом примере кино про зомби Живая мертвечина натуралистические сцены потрошения кишок ломали шаблон и искренне радовали любителей жанра глубиной чёрного юмора. Обречённый на успех с самого начала Властелин колец был упакован в тонны компьютерной графики ради создания экстраординарной эпичности и монументальности, присущей лёгкому перу Толкина. А вот с картиной Милые кости всё далеко не так однозначно...

Сразу вычтем из общей картины спецэффекты - это всегда лишь вишенка на пирожном, украшающая то, что вкусно само по себе, верно? Поэтому посмотрим на сухой остаток. А в сухом остатке у нас немного. Если Вы (как и я) не читали книгу, то сюжет с большой долей вероятности Вам покажется серым и скучным, если не унылым и отсутствующим. Лично я не переставал себя спрашивать: зачем здесь это, а вот это зачем? И единственным успокоением для меня была мысль: 'Так надо по книге'. Потому что иначе ответить на вопросы вроде 'Какую роль в повествовании играет упоротая бабуля?' или 'Давно ли в школе отказались от использования автобусов?' попросту невозможно. Ну да чёрт с ним, опустим сюжет! Попробуем воспринять кино как артхаусную новеллу, например. Какую центральную идею она доносит до нас?

А самую тривиальную и неизменно популярную у широких масс населения. Идею бессмертия души и присутствия мертвецов в нашем мире, на сороковой день (или по завершении дел земных) отходящих в иную сверхъестественную реальность. Боже, как это ново и необычно! Мой мир уже никогда не будет прежним (с).

Ещё древние египтяне строили пирамиды, чтобы хорошо проводить фараонов и их жён прямо на те самые заветные небеса, которые, как сказал бы агент Малдер из X-Files, наверняка 'где-то рядом'. Но вот парадокс - фильмов про души и их переселение/путешествие снято немерено, а про древних египтян - шаром покати (ужасы про ожившие мумии не считаются). И доныне этот сюжет никак себя не изживёт, к чему обязывает религия (на данном отрезке развития цивилизации - христианство, в странах-прозводителях рассматриваемой ленты существующее в варианте протестантизма). Вот тут-то и кроется, на мой взгляд, самое слабое место фильма Милые кости - он пропитан популизмом до мозга костей. Вы хотите красивую картинку с разбивающимися о берег кораблями и проваливающимися в тартарары беседками в эльфийском лесу? Нате! Вы хотите историю про вселенскую справедливость, воздающую каждому по заслугам? Вот Вам! Нужна надежда на то, что Ваша личность продолжит существование даже после гибели её носителя, то бишь человеческого мозга? Да пожалуйста! А там и до дверей ближайшей церкви недалеко. И лично моё мнение заключается в том, что религиозная пропаганда - это всегда плохо.

Матрица учила нас искать истину. V значит Вендетта - бороться за свои идеи. Видеть всё и 1984 - не верить никому и ни во что. Эквилибриум - быть собой, и даже в Никогда не сдавайся нас призывали быть воинами, готовыми сражаться за своих близких. А чему учат нас Милые кости, помимо фаталистичной покорности судьбе? Вере в счастливую загробную жизнь? Достойный посыл, ничего не скажешь...

P.S.

Где была вселенская справедливость до того, как маньяк убил ПЕРВУЮ жертву? Уважаемые создатели фильма! Сделайте альтернативную концовку! Пусть маньяк продолжает убивать, пока все вокруг радуются жизни, в том числе и после смерти. Тогда вы окончательно покажете нам истинную суть кино для хомячков ('живите, учитесь, работайте, умрите и попадите в вожделенный рай навечно!'), которая в оригинальной картине несколько заглаживается приятной музыкой, яркими красками, десятками и сотнями кадров с компьютерной графикой и смазливыми личиками актёров, за которые я всё-таки поставлю этой безыдейной жевательной резинке для ума скромные

4 из 10",4 из 10,4
2,3,"Этот фильм вызвал у меня двоякое впечатление. Образы доброй жертвенности, прощения, мудрости никак не вяжутся в моем понимании с историей об убийце-педофиле. Ну не испытала я светлых чувств  в конце фильма, не смогла я «отпустить» убийце так, как это сделала героиня Сиршы Ронан. Я уверена, что христианские заповеди прощения не могут быть применены ко всем поступкам в этом мире.

За что можно поставить фильму положительную оценку, так это визуальные образы. Некоторые сцены  были сняты восхитительно красиво. Например, когда героиня из потустороннего мира смотрит на своих близких. Или сцены с душами умерших детей в поле. 

Только весь восторг пропадает, когда понимаешь, что это все лишь фантазия режиссера, а эти милые дети – лишь милые кости в холодной и сырой земле. Я не буду разглагольствовать о том, что загробной жизни не существует. Это мое мнение. Дело не в этом. Дело в том, что даже если в этом загробном мире человеку воздается за его поступки, в нашем «земном» такого не будет никогда.  И режиссер нам показал это во всей красе. Пусть в конце он все-таки припас для преступника наказание, не будем лукавить – оно ничтожно для его деяний. 

Ничего мне этот фильм не дал. Я лишь убедилась в беспомощности слабых перед настоящим злом. Злом садизма, похоти и безжалостности. В том, что добро скорее проиграет злу, чем победит. Но, спасибо хотя бы за то, что показана история без спасения и хэппи энда (а так в жизни чаще всего и случается), но само отношение к злу в этом фильме, повторюсь, неправильно в моем понимании.

Актерская игра не вызвала ни разочарования, ни восторга. Возможно, разглядеть этот момент более пристально помешало резкое расхождение моих взглядов со взглядами главной героини фильма. Поэтому он вызвал такое отторжение.

6 из 10",6 из 10,6
3,4,"Сюжет повествует о четырнадцатилетней девочке по имени Сьюзи Салмер у которой были любящие родители, молодой человек, а так же мечта стать профессиональным фотографом, но на всем этом поставил крест Джордж Харви, который изнасиловал, а затем и убил маленькую девочку. Но на этом фильм не заканчивается, а лишь начинается, ведь душа Сьюзан жаждет мести, ее родители пытаются докопаться до правды, а Харви присматривается к сестре главной героини, дабы превратить очередную девочку в «милые кости».

Сколько было сломано копий, на тему того есть ли жизни после смерти или ее нету? Если ее нет, то зачем мы делаем то что делаем? А если она есть то какая она? Становимся ли мы бесплотными духами что бродят по земле не найдя себе покоя или мы отправляемся в другой мир, тот который заслуживаем? Не стану говорить, во что верю я, так как это вам все равно неинтересно, а посмотрим на то во что верит режиссер картины. А Питер Джексон верит в то, что человек после своей смерти превращается в призрака, которому вынь да положь надо разобраться со своими земными делами. Подобный ход обыгрывался в «Страшилах» и тот же самый ход обыгрывается и тут. Разница лишь в том, что бюджет «Милых костей» был в два раза больше и этот самый бюджет был целиком и полностью пущен на визуальную часть и признаюсь честно – дух захватывает. Отличная игра света и тени в особенности это заметно когда зрителю демонстрируют светлые и яркие моменты жизни Сьюзи Селмер, и мрачные и я бы даже сказал готические тона Джоджа Харви. Это создает отличный контраст и показывает вот смотрите это у нас чистая душа, а вот у нас злой мерзавец у которого за душой ничего нет. Отличная находка, да. Это особенно заметно, когда выясняется, что характеры героев никто демонстрировать не будет. Это все отдано на откуп красивых спецэффектов. Но тогда зачем этим людям голос? Не проще ли было снять немое кино? В этом случае находка с игрой света и тени была бы куда более оправданной, а так ждешь, что герои начнут демонстрировать характер, но они демонстрируют лишь эмоции, в которые по большей части не веришь. Но это не вина сценаристов, это скорее вина актеров которые сыграли на достаточно среднем уровне и даже не пытались вдохнуть в своих героев жизнь. Исключение составляет разве что бабушка Съюзан – Линни. Вот она в отличие от всех остальных героев картины показала и характер, и живые эмоции. Жаль что ее в этом фильме очень мало. А что же главный виновник торжества Джордж Харви в исполнении Стэнли Туччи? А он играет чуть выше среднего, но по сути не демонстрирует ничего выдающегося. Какая номинация на Оскар? Джек Николсон за свою роль в «Сиянии» получил Оскара? Нет. А может Энтони Перкинс, получил эту номинацию за свою роль в «Психо»? И снова нет. А ведь и тот и другой актер справились со своими ролями куда как лучше! Нда, прогнило что-то в этом мире. Сильно прогнило. А как насчет исполнительницы роли Сьюзан – Сирши Ронан? О, а она пытается что-то играть, но выглядит все это настолько картонно, что хочется чтобы ее как можно меньше показывали в кадре, ибо раздражает. Что же до морали то она напоминает нечто вроде этого – «если тебя насилуют, то не сопротивляйся, а попытайся получить удовольствие от процесса». Иными словами зло все равно получит свое рано или поздно и тебе даже не надо к этому прилагать никаких усилий. Серьезно? Все так просто? То-то я вижу, как Мавроди получил по заслугам. Как получили по заслугам бандитские авторитеты, которые сейчас занимают руководящие должности в этой стране. Как получили по заслугам насильники и убийцы, а если не получили то всего то и надо что немного подождать и все изменится. Браво, сер Джексон! Вы открыли мне глаза! 

Подводя итог, хотелось бы сказать, что перед зрителем предстает фильм с прекрасным визуальным рядом и очень красивыми спецэффектами, но очень слабой сюжетной частью, средними актерами и гнилой моралью. Так что мой вам совет, коли хотите посмотреть действительно хорошую пусть и немного жестокую сказку то обратите свой взор на фильм «Мост в Терабитию», а это кино представляет собой лишь набор спецэффектов. На сим откланиваюсь.

5 из 10",5 из 10,5
4,5,"Данное кино имеется у меня на сборнике фильмов на  DVD-диске. Недавно решил посмотреть что-нибудь и наткнулся на него. Краткое описание показалось интересным. Фильм на столько нереалистичный, что, на мой вкус, заслуживает отрицательной оценки. Обычно не составляю рецензии на фильмы, в кот. всё смотрится так неправдоподобно, но тут была затронута интересная тема, и считаю, что если бы в этой работе было больше реализма, то смотрелось бы достойно. А так, работа не оставляет серьёзного впечатления.

В начале фильма главная героиня в возрасте 14-и лет на всех порах мчится в больницу на автомобиле. В таком возрасте она бы кое-как дотягивалась до педалей, а о лихачестве и речи быть не может. Эпизод с внезапным прозрением отца лишён логики. Его догадку режиссёр основывает на том, что на фото он видит свою дочь на фоне красных цветов, принадлежащих маньяку. Далее, находясь в гостях у маньяка, он обнаруживает, что цветы блёклые. Какая связь между аферой с цветами и смертью его дочери? Тут вмешалось мистическое чутьё, понятно. Но зачем тогда надо было это связывать с цветами, меняющими свой окрас? После всего отец гоняется за маньяком и в пылу атаки случайно в поле наталкивается на девушку. После её парень избивает отца девочки до полусмерти, хотя тот лишь толкнул девушку не пытаясь раздеть. Избиение по такому поводу смотрелось преувеличенно, не по делу. Далее нереалистичность только усиливалась, что свойственно фильмам, в кот. режиссёр изображает вроде как параллельную реальность, в кот. законы нашей жизни не писаны. Младшая сестра убитой, которой лет 16-17 решает выяснить что к чему и начинает обыскивать дом маньяка с умением проф. детектива. Укрываясь от маньяка она падает на спину с 2-х метровой высоты и через 10 сек. мчится изо всех сил домой. После такого потрясения она бы лежала гораздо дольше 10-и сек. Апогеем этой сказки стала смерть маньяка в результате падения с отвеса в пределах жилой местности. Сомневаюсь, что в цивильной стране отвес не огородили бы хоть каким-нибудь забором. Ну а то, что маньяк - существо в повышенным чутьём к опасности, крайне осторожное, мог встать спиной вплотную к этому отвесу и пятиться назад из-за того, что ему мешала сосулька за шиворотом, говорит о том, что к концу съёмок режиссёр потерял связь с реальностью.

Несмотря на полное отсутствие реализма фильм понравился показом идеи связи духовного тела с материальным миром. Особенно ярко это смотрелось в моменте, когда маньяк выкинул в реку ожерелье убитой девочки. Реакции маньяка на раздражители переданы грамотно. Однако, обычно маньяки выглядят более подозрительно (их фото есть в инете) и актёра стоило бы подобрать с лицом нестандартным. Смотрится фильм легко и, не смотря на сказочность эпизодов, благодаря операторской работе и работе художника досмотрел без труда.

Прочитал половину отрицательных рецензий к этой картине, но не в одной не увидел упрёк на отсутствие реализма в фильме. Понятное дело, что это худ. приёмы, но ведь в этой ленте они перешли все границы. Неужели зритель, наблюдая за происходящим, не оценивает того, как смотрелось бы всё в реальном мире? Просто вижу много фильмов со сказочными кульбитами, где это не осуждается.

4 из 10",4 из 10,4
5,6,"Так уж вышло, что в квадрате моего общения никто не смотрел эту картину, однако слышали о ней все. Похоже, что на то есть не иллюзорные причины. 

Начало кинокартины крайне увлекательное, но закольцованность сюжета (это не отсылка к 'Властелинам') чувствуется сразу. Повтор реплик в начале и конце повествования - это типичный драматургический прием при экранизации романов, однако, успешно его интерпретировать в плоскости кино удается только Квентину и только ему. Наивные попытки остальных 'именитых режиссеров' вызывают в лучшем случае пренебрежительное '5 за попытку, 2 за исполнение' или, как в случае с П. Джексоном и 'Милыми костями' - желание выстрелить картечью в лицо треклятого бездаря. 

Я смиренно перенес сюжетные склейки на первой трети и половине фильма, когда маразм заметно крепчал, по мере появления все новых и новых способностей ГГ, подкрепляемых откровенно посредственным CGI-сценами. Я с интересом наблюдал за инфантильными выходками взрослых и нарочито-зрелыми поступками детей, за мучительно-неторопливыми повествованием, своей прямолинейностью будто намекающий на мою умственную неполноценность. И все эти жертвы, ради разочаровывающей, отвратительной, бездушной, идиотически-наивной концовки, которая представляет собой ни что иное, как жертвенный алтарь, на котором распяли и расчленили здравый смысл во имя эпохи маркетологически-верного сентиментализма. 

Не знаю, кто мразь в этом случае: сам П. Джексон (ведь с 'Властелинами' все в порядке) или продюсерский состав (как правило, такого рода плевки в лица зрителей - это их рук дело), но такой недоумевающе-слепой ярости я не ощущал со времен... да никогда, в общем-то. 

___

ИТОГО: худшая концовка хорошего фильма.

3 из 10",3 из 10,3
6,7,"Просматривая рецензии на данную картину, можно увидеть, насколько полярны отзывы: одни были в восторге от картины, другие были крайне разочарованны. Себя бы я отнес скорее ко второй группе, так как фильм не произвел на меня никакого впечатления. При этом я был удивлен некоторыми критиками, которые кртиковали посыл фильма, мол, такую тему нельзя подавать в таком позитивном ключе. Проблема этого фильма не в посыле, а в том как он был исполнен. 

С самого начала фильм навевает скуку, и заметно, как создатели пытаются оттянуть момент встречи маньяка и девочки. Сама сцена в подвале и то, как герой Стэнли Туччи пытается заманить девочку к себе была довольна хороша (как выяснилось, это был лучший момент за весь фильм). Тут я ожидал, что наконец-то сюжет разворачивается, и все самое интересное еще впереди. Увы, я ошибся. Место, где девочка оказалась после смерти показано очень странно. Но с этим можно смирится, у каждого свое мнение, как выглядит потусторонний мир. Но зачем туда впихнули девочку-азиатку, которая сопровождала главную героиню, я так и не понял. Да, их связывал один убийца, но почему именно она там, а не другие его жертвы? На мой взгляд, здесь очевидна недоработка в сценарии.

Пожалуй, самый слабый и непонятный эпизод фильма-часть, где бабушка героини приезжает в дом. Я так понимаю, что бабушка должна была привнести юмор в картину, но эффект получился другим: ее роль выглядела гротескной и абсолютно не вписывающейся в фильм. К тому же, после этого режиссер о ней словно забывает, и она дальше появляется лишь в паре эпизодов. 

Актерская игра была неплоха, и было видно, что актеры выжимают максимум из своих ролей. Но если у Сирши Ронан, Марка Уолберга и Стэнли Туччи была возможность развернуться и показать свой талант, так как их роль это позволяла, то за Рэйчел Вайс и Майкла Империоли мне было просто обидно, ведь их герои абсолютно серые и проходные. Сравните Империоли в роли инспектора в далеко не самом успешном сериале “Детройт 1-8-7” и здесь, и сразу поймете, в чью пользу нужно делать сравнение, а также какой режиссер не смог выжать ничего из актера. Отдельное внимание я бы хотел обратить на сестру героини в исполнении Роуз МакИвер. Она сыграла хорошо, но я никак не мог поверить, что она играет младшую сестру Сьюзи. Потом узнал, что она старше Ронан в реальной жизни на семь лет (Макивер на момент написания моей рецензии  26). Иными словами, на момент фильма ей был 21-22 года, а она играла младшую сестру 14-летней Сьюзи. Комментарии излишни. 

В целом, нельзя сказать, что фильм ужасен, но охарактеризовать его можно только как неудачное использование талантов, принимавших участие в создании этого фильма.

6 из 10",6 из 10,6
7,8,"Одна из излюбленных тем для подобных фильмов - попытка ответить на вечный вопрос: что ждет нас за той таинственной чертой, отделяющей жизнь от смерти? Свое видение, так называемого, загробного мира режиссеры показывают по-разному. Джерри Цукер в фильме 'Приведение' показал, что душа погибшего не может уйти в мир иной, пока не закончит дела на земле, Алехандро Аменабар в 'Других' создал почти идентичный мир, где мертвые существуют так же как и при жизни, бок о бок с живыми.  Так или иначе, у каждого создателя и зрителя свое мнение на этот счет. Именитый режиссер серии 'Властелин колец' подошел к вопросу раскрытия своего мироощущения своим, уникальным, образом, о котором и пойдет речь в рецензии.

Все начинается с милого голоса милой девочки, главной героини этого милого фильма. Вообще, удивительно, буквально все в фильме наполнено этой непосредственной милостью, каждая сцена вызывает умиление, не смотря на то, что затронута крайне болезненная и ужасная по своей сути тема. Режиссёр будто боится напугать зрителя, поэтому все острые углы сглаживает где надо, и где не надо. С первых же кадров становится понятно, что главная героиня мертва и общается с нами прямиком из Рая. Основной сюжет большей половины фильма укладывается в пару слов Сьюзи 'Мне было 14, когда меня убили', и ровно до середины фильма нам показывают, как это было, параллельно перемещая зрителя на небеса и показывая красивый и необъятный мир Сьюзи. 

Я очень люблю спецэффекты, как, наверно, и все, но только не в том случае, когда они являются первостепенной задачей фильма и затыкают огрехи сценария визуальным воздействием. Именно визуально фильм хорош. Золотистый оттенок кадра, головокружительные пейзажи, интересные кадры, которые самые дотошные зрители смогут понять по-разному. Все это в фильме есть, и этого 'всего' много. Питер Джексон умеет снимать красиво, что он не раз доказал. Вопрос в том, нужна ли визуальная красота конкретному фильму? С одной стороны да, ведь показан загробный 'страшный' мир ребенка. В нем нет чудовищ, свое главное чудовище Сьюзи оставила на земле. Похоже на попытку рассказать детям, как выглядит потусторонний мир. Но с другой стороны невольно открываешь взгляд от красивейшей графики и задумываешься над сюжетом. Сколько вы знаете серийных убийц, специализирующихся на педофилии? Сколько убитых горем родителей, похоронивших своих детей лишь из-за того, что какому-то психу необходимо короткое удовольствие? Наверняка кого-то да вспомните, того же Чикатило. Неужели эту серьезнейшую тему можно показывать таким образом? Что лично для меня стало огромным минусом фильма - это отсутствие саспенса и необычных поворотов сюжета. Смотреть то, что настолько предсказуемо, не интересно. Первый час ты любуешься графикой, а потом волей-неволей обращаешь внимание на скатывающийся в бездну, как сейф мистера Харди, сюжет. 

Персонажи не прописаны, их характер не ясен, а сцены, где, казалось бы, этот характер раскрывается, настолько не логичны, что им просто не веришь. Чего стоит чудесное появление веселой бабушки, в то время, когда в доме траур по убитому ребенку. При чем не просто убитому, а ушедшему из жизни таким страшным образом. А ведь у вас еще двое детей, вы не боитесь? И с какой легкость она говорит 'Тогда наверно Сьюзи просто умерла', так, между делом. Я ожидал увидеть глубокие страдания родителей, какие-либо воспоминания, поиски убийцы. Единственный, кому это нужно - отец Сьюзи. Но больше всего поражает то, как быстро режиссер подвел итоги. Сложилось ощущение, что он тянул, и тянул, и тянул, а потом опомнился и заметил, что пленка заканчивается, поэтому надо отснять конец. Страшную историю 'разрулили' так, что после просмотра прибываешь в состоянии шока. Удивляет и главная мысль - всех нужно прощать, ну убил он твоего ребенка, разрезал на мелкие кусочки, лишил будущего и всего на свете, но это же не повод мстить! Отпусти, Бог сам решит, как его наказать. Уверен, что большинство из нас в такой ситуации, не дай Бог, вели бы себя совсем иначе. 

Стоит ли говорить, что актерская игра меня не впечатлила. Красавица Рейчел Вайс совершенно обычна, ее роль могла бы сыграть любая актриса. Марк Уолберг как обычно 'так себе', никогда не любил этого актера, поэтому сказать что-то конкретного про него не могу, лучше бы взяли кого-нибудь с более яркой харизмой и талантом. Стэнли Туччи молодец, был действительно похож и на простого одинокого мужчину, создающего кукольные домики, и на маньяка-убийцу. Больше всех понравилась юная талантливая актриса Сирша Ронан, очень солнечная и запоминающаяся девочка.

Подводя итоги не могу не сказать, что, опять же, визуально фильм интересный. Кадры, планы, монтаж, графика - все очень добротно. И многочисленные аллегории радуют, заставляют задуматься над каждым кадром. Но сюжет откровенно провисает, основной посыл ясен, но выражен скупо и криво, скомканное повествование, нелогичные, а главное - нежизненные поступки героев. Не показан весь тот ужас от потери любимого ребенка. Нет, я не хочу видеть как именно он ее убивал, и море крови мне не нужно. Но главная мысль фильма - не доверяйте, дети, дядям, которых не знаете достаточно хорошо, увы, не раскрыта.  

5 из 10 

за визуализацию и техническую оригинальность",5 из 10,5
8,9,"Ощущения неоднозначные. С одной стороны мы видим прекрасную игру визуала, красивых актеров, пейзажи и кадры, а с другой мы получаем полнейшую пустоту в виде главных героев, коих спасает только постоянно тут и там выезжающие из кустов и кукурузы рояли.

Приятное:

- Очень красивые, приятные внешне и зачастую по игре актеры, идеально подходящие по сеттингу. Даже антагонист получился тем еще душкой, и даже точно не знаешь, хорошо ли это или плохо. 

- Отменный визуал, прекрасно передающий настроение и не лишенный баз символизма вроде подчеркивания темной и светлой сторон. Виды загробного мира особенно красивы, пусть иногда и пустоваты и шаблонны, а фильм уже сам по себе давно порезан на картинки ко всяким цитаткам.

- Символизм. Он везде! Следовательно внимание к деталям тоже соблюдено на ура.

Неприятное:

- Рояли из кустов. Тысячи их! Громоздкие и ярко вишневого оттенка. Половина наставлена ради ничего, которое изначально хотело чем-то стать. Порой попадается откровенный бред вроде парочки в кукурузе, которые решили забить одного из героев до полусмерти с пустого места.

- А у вас семья шибанутая, а половина героев и сцен полезны на уровне цветного карандаша в море. К бабушке больше всего вопросов, как и к матери семейства. Пусть в фильмах логика порой строится совсем иначе, чем в жизни, но это не повод убирать персонажей с крайне глупыми отговорками, просто потому что они больше не нужны и устраивать совершенно неуместные сцены, портящие впечатления от предыдущей и всего фильма в целом. Яркий пример - сестра главной героини стащила дневник чтоб показать его семье, где уже вовсю происходит воссоединение.

- Пустые персонажи. Особенно это касается главной героини, которой не удается сочувствовать и сопереживать. Мы слышим историю ее жизни, воспринимаем ее мысли и ощущения, но ни разу не чувствуем некого душевного отклика в ее сторону. Порадовала только лишь ассоциация с фотографиями в конце. К финалу Сюзи начинает просто раздражать, особенно на фоне своего грамотно прописанного отца и чуть менее интересного антагониста. Который кстати тоже состоит из ничего и 'ууу, меня цепляют маленькие девочки!!!'.

Ну а в целом...

Красивый кукольный домик с не менее прекрасными куклами внутри. Жаль, что за этим визуально приятным картоном и пластиком скрывается лишь мораль для уже мертвых людей и огромное количество пустоты. Логика тоже довольно по-кукольному глупая и тут дело далеко не в зрителе. Почти каждое действие можно охарактеризовать 'необъяснимо, но факт'. Фильм на раз и не больше.

Не доверяйте незнакомцам. 

3 из 10",3 из 10,3
